"Department=[Amazon.com]","Search Term=[knife]","Enter ASINs or Products=[]","Reporting Range=[Weekly]","Viewing=[9/1/19 - 9/7/19]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","pocket knife","132","B01CDM805E","Spring Assisted Knife - Pocket Folding Knife - Military Style - Boy Scouts Knife - Tactical Knife - Good for Camping, Hunting Survival Indoor and Outdoor Activities Mens Gift 6681","11.72%","12.87%","B007HAE5GQ","Smith & Wesson Extreme Ops SWA24S 7.1in S.S. Folding Knife with 3.1in Serrated Clip Point Blade and Aluminum Handle for Outdoor, Tactical, Survival and EDC","8.95%","15.83%","B0087DRWWQ","TAC Force TF-705RB Tactical Spring Assisted Knife 4.5 Closed","7.09%","7.18%"
"Amazon.com","knife","329","B007HAE5GQ","Smith & Wesson Extreme Ops SWA24S 7.1in S.S. Folding Knife with 3.1in Serrated Clip Point Blade and Aluminum Handle for Outdoor, Tactical, Survival and EDC","7.47%","12.21%","B00R200LKU","Utopia Kitchen Chef Knife 8 Inches Cooking Knife Carbon Stainless Steel Kitchen Knife with Sheath and Ergonomic Handle - Chopping Knife for Professional Use","6.13%","17.37%","B01CDM805E","Spring Assisted Knife - Pocket Folding Knife - Military Style - Boy Scouts Knife - Tactical Knife - Good for Camping, Hunting Survival Indoor and Outdoor Activities Mens Gift 6681","5.82%","6.11%"
"Amazon.com","knife set","711","B00GIBKC3K","Cuisinart C77SS-15PK 15-Piece Stainless Steel Hollow Handle Block Set","15.97%","17.05%","B075MD55N1","Stainless Steel Knife Set with Block - 13 Kitchen Knives Set Chef Knife Set with Knife Sharpener, 6 Steak Knives, Bonus Peeler Scissors Cheese Pizza Knife and Acrylic Stand by Home Hero","12.79%","10.44%","B01ALYD1WI","Cuisinart C77WTR-15P Triple Rivet Collection 15-Piece Cutlery Block Set, White","6.47%","4.64%"
"Amazon.com","knife sharpener","717","B001CQTLJM","KitchenIQ 50009 Edge Grip 2-Stage Knife Sharpener, Black","27.24%","36.58%","B079WWFZY6","Kitchen Knife Sharpener - 3-Stage Knife Sharpening Tool Helps Repair, Restore and Polish Blades - Cut-Resistant Glove Included (Black)","13.10%","16.25%","B07CVN8HV5","Work Sharp Knife & Tool Sharpener","5.57%","1.51%"
"Amazon.com","folding knife","2176","B007HAE5GQ","Smith & Wesson Extreme Ops SWA24S 7.1in S.S. Folding Knife with 3.1in Serrated Clip Point Blade and Aluminum Handle for Outdoor, Tactical, Survival and EDC","12.40%","23.71%","B01CDM805E","Spring Assisted Knife - Pocket Folding Knife - Military Style - Boy Scouts Knife - Tactical Knife - Good for Camping, Hunting Survival Indoor and Outdoor Activities Mens Gift 6681","8.44%","5.15%","B0057R8SSM","Kershaw Clash Black Serrated Pocket Knife (1605CKTST) 3.1” Stainless Steel Blade with Black-Oxide Coating, Glass-Filled Nylon Handle with SpeedSafe Open, Locking Liner and Reversible Pocketclip, 4.3oz","7.59%","10.31%"
"Amazon.com","swiss army knife","2189","B00004YVB2","Victorinox Swiss Army Classic SD Pocket Knife, Red","20.84%","32.63%","B0001GS19U","Victorinox Swiss Army Multi-Tool, SwissChamp Pocket Knife, Red","10.99%","4.98%","B00006IS69","Victorinox Swiss Army Fieldmaster Pocket Knife, Red,91mm","10.85%","10.46%"
"Amazon.com","chef knife","2455","B01DDBJF12","imarku Chef Knife - Pro Kitchen Knife 8 Inch Chefs knife High Carbon German Stainless Steel Sharp paring knife with Ergonomic Handle","14.26%","20.09%","B005P0OLOQ","Mercer Culinary Millennia Chef's Knife, 8 Inch, Blue","10.44%","13.61%","B0791L86QV","Cooking Chefs Knife 8 inch - Chef Kitchen Knives Razor Sharp - Made for Rugged Use - Chip Resistant German High Carbon Steel - Ergonomic Sandal Wood Handle - Japanese Inspired Designed in Detroit","6.45%","0.22%"
"Amazon.com","butterfly knife","2878","B07LDZ6PZG","Butterfly Knife, Trainer Martial Arts Practice Swords Steel Metal Folding Knife Training Knife Tool Unsharpened, Random Color Blade Black and Silver, Set of 2","10.06%","20.92%","B00KC5IELA","TAC Force Assisted Opening Black Handle Rescue Folder Half Stainless Steel Rainbow Blade Knife","9.13%","5.23%","B07RZBY7B2","D&Kmall Multifunctional Bottle Opener Wrench Balisong Shark Style Bottle Opener Butterfly knife style Design Spanner","7.44%","4.58%"
"Amazon.com","tactical knife","3364","B007HAE5GQ","Smith & Wesson Extreme Ops SWA24S 7.1in S.S. Folding Knife with 3.1in Serrated Clip Point Blade and Aluminum Handle for Outdoor, Tactical, Survival and EDC","8.97%","19.08%","B002OAU30G","Smith & Wesson SWMP4LS 8.6in S.S. Assisted Folding Knife with 3.6in Serrated Clip Point Blade and Aluminum Handle for Outdoor Tactical Survival and EDC","6.12%","7.24%","B07MFLF1S7","Keenstone Tactical Pocket Knife Tactical Flashlight Set, 5 in 1 Mutitool Knife and 5 Modes Zoomable Tactical Flashlight Torch for Camping Hiking Fishing Survival","6.12%","7.89%"
"Amazon.com","kitchen knife","3535","B07DN8H5BQ","Chefs Knife Kitchen Knife, VG-10 Core with 67 Layers Damascus Steel, Ergonomic Pakka Handle, Santoku Style Multipurpose Cooking Knife Balanced,With Gift Box","48.84%","0.42%","B01DDBJF12","imarku Chef Knife - Pro Kitchen Knife 8 Inch Chefs knife High Carbon German Stainless Steel Sharp paring knife with Ergonomic Handle","6.84%","11.53%","B00R200LKU","Utopia Kitchen Chef Knife 8 Inches Cooking Knife Carbon Stainless Steel Kitchen Knife with Sheath and Ergonomic Handle - Chopping Knife for Professional Use","5.19%","15.51%"
